run,mse,settling_us,power_mw,c_mismatch_pct
1,6.398828495995232e-06,6.5447293116751375,0.8410120179273933,6.312411518397065
2,5.729842918020323e-06,6.072585394548983,0.8950003324579926,1.9101522411774894
3,5.84897488716831e-06,5.893702004358525,0.8011644834726331,2.5873588692905525
4,6.011448983945004e-06,6.224413043774379,0.8160932577008765,3.515760892766695
5,5.728240349977629e-06,6.272455058118514,0.7705047935365912,2.452549442161198
6,6.3494643402213625e-06,6.376334397778793,0.7585525802060487,2.5507592573594917
7,5.31196637707479e-06,6.083663868765789,0.7484469298669555,5.551235627560258
8,6.784467435666601e-06,6.2519590034506285,0.7785165237194885,4.636082206797078
9,5.630152533558837e-06,6.327563559236358,0.8123164722473823,4.0325590513815435
10,5.904316215060111e-06,6.215670973174608,0.7537638530335234,3.5251915221662307
11,6.267507359456361e-06,6.267618597940251,0.8890640156442312,4.387866504735696
12,6.705096138577824e-06,6.101001406417157,0.7411312012009097,6.501696472868613
13,5.866731927378539e-06,5.9516617652536805,0.848360264023923,2.3552898670131572
14,6.2865485601463316e-06,6.1224990555654975,0.841535885652701,2.190362588968109
15,5.505430282189741e-06,6.2495502466106885,0.7617322966707782,2.468599627401671
16,6.662627595789006e-06,5.959557584760219,0.8797063823803362,4.693116776664967
17,5.925220059018833e-06,6.062741477526904,0.8629462439801712,4.0957248955504255
18,5.9541490137776035e-06,6.218884877344923,0.7566009063358349,1.343980039316588
19,6.229116960396403e-06,6.005171088489639,0.8533040887233367,2.650809774013032
20,6.577444782656794e-06,6.278167786975233,0.8361116550094176,2.657374904848162
21,6.730544916764667e-06,6.540729946400715,0.7794209229851892,5.5550714282686915
22,5.523159089475505e-06,6.5430043239190265,0.7945248985509168,3.917405487974266
23,6.337666328578658e-06,6.082269454621437,0.8276575370688128,2.8320800136652635
24,5.870792989596697e-06,6.0215471157386,0.8721059146335409,1.5015566941062541
25,6.174848032384003e-06,6.085086297633238,0.8063224169263546,3.501513473623978
26,6.497535503590623e-06,6.284425692289762,0.8274059564776568,2.552333568940006
27,5.7409828715467386e-06,6.028263889475626,0.7977190624815187,4.024676449561045
28,6.21101584849344e-06,6.143276307842977,0.8986975680770362,3.4524086393537363
29,5.926961646689743e-06,5.925998101847022,0.8274053123880101,1.0391015671636006
30,7.101796256248328e-06,6.022203461117462,0.8690120248640983,4.239545635328947
